id,job_title,descr50,job_level,job_grp,vert_grp,notes,del_doc_path,del_doc_name,beroep_cd,code_fnc,schaalsrt,schaalcode,kmrateint,productiv,prodpct,xdefratelv,inttar,exttar,docid,roleid,rolelevel,scalemin,scalemax,wkcp_risk,division,syscreated,syscreator,sysmodified,sysmodifier,sysguid,
1720,NCC_PTKD    ,Phụ trách kinh doanh                            ,10,,,,,,,,,,0,1,0,,0,0,,,3,0,0,,101,52:36.0,0,52:36.0,0,0264A171-9DD7-40C7-B6B9-C5155C2BFAE5,
1721,NCC_QLCL    ,Quản lý chất lượng                            ,10,,,,,,,,,,0,1,0,,0,0,,,3,0,0,,101,52:49.7,0,52:49.7,0,BB9E6965-C4B7-4BA3-A52A-29CAF7C034B1,
1531,ND          ,CV Truyền thông thương hiệu                     ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,,,,,,,,,,,
��T,,,3,0,0,,101,01:38.0,0,01:38.0,0,0C85CCB5-32B5-4A2E-A30F-0E6EE64D5A29,,,,,,,,,,,,,,,,,,,
1663,NDTMDT      ,CV Truyền thông phụ trách Kênh Ecom            ,10,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,
�N�,,,3,0,0,,101,31:33.4,0,31:33.4,0,5CDC3D0F-8BCF-4350-A5CE-F5ABF90F6FD7,,,,,,,,,,,,,,,,,,,
1463,NV BV       ,Nhân viên Bảo vệ                                ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,33:11.9,0,33:11.9,0,2F55C3B5-A7AC-44C2-A1C3-16712035ADFA,
1778,NV CSCX     ,NV Chăm sóc cây xanh                             ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,07:39.4,0,07:39.4,0,97C4529A-BB22-49BD-BB72-7C0534A3D451,
1800,NV CSKH     ,NV tiếp nhận bảo hành và CSKH                ,10,,,1960,,,,,,,0,0,0,,0,0,,,3,0,0,,101,02:37.5,0,02:37.5,0,9C0E6BFE-05B5-4486-902D-04B82180E50D,
1613,NV DIGITAL  ,Chuyên viên Digital                               ,10,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,
�A�,,,3,0,0,,101,51:28.5,0,51:28.5,0,D8F2908B-5066-4B30-8373-61C40017770B,,,,,,,,,,,,,,,,,,,
1503,NV EVENT    ,Nhân viên Event                                   ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,32:40.8,0,32:40.8,0,460589A9-5B8D-4331-A06B-C683903E607C,
1542,NV KS       ,Kiểm soát nội bộ                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,39:46.2,0,39:46.2,0,DA8434A9-644F-410F-A034-2FC5F558F986,
1782,NV KHCS     ,NV Kế hoạch và Chính sách                    ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,48:25.4,0,48:25.4,0,2796BF14-84AB-42A6-AEB6-905273BF996E,
1469,NV OOH      ,"Nhân viên Phụ trách biển bảng, quầy kệ (OOH) ",10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,42:11.6,0,42:11.6,0,A3DD07FD-1C37-4916-AFA0-23B96948C725,
1753,NV SOURCING ,Chuyên viên sourcing                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,22:36.5,0,22:36.5,0,540E0507-6B0D-44EF-A755-9C6095498A94,
1489,NV TMĐT     ,Nhân viên Thương mại Điện tử                   ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,03:38.6,0,03:38.6,0,9D4CC94C-AE73-4C73-88D0-91301E3DDD0C,
1596,NV TT       ,Nhân viên thủ tục                               ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,00:53.2,0,00:53.2,0,50A466C4-9CDF-46AB-87F1-0820BB7D8A28,
1699,NV TT MKT   ,CV Marketing ngành hàng                         ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,50:52.7,0,50:52.7,0,F7CD54CD-308A-4414-8830-5B9C084E0E55,
1534,NV TTNB     ,Chuyên viên Truyền thông nội bộ                ,10,STAFF     ,HR        ,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,25:14.9,0,25:14.9,0,F638276B-6E2C-486C-A6C6-25B119480507,
1544,NV TRADE    ,Nhân viên Trade Marketing ĐN                      ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,44:44.2,0,44:44.2,0,906D258D-A427-4796-A24F-378767426861,
1799,NVBAOHANH   ,Nhân viên Bảo hành                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,59:45.1,0,59:45.1,0,71470EE4-D55A-45E7-8B58-2783012E3F17,
1477,NVBH        ,Nhân viên Bảo hành                               ,10,QLTKTL    ,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,58:17.2,0,58:17.2,0,5269DF02-63D3-495D-B1CD-ED6AADDFF7E5,
1466,NVBHBD      ,Nhân viên bán hàng Brandshop                      ,10,PGPB      ,,235,,GR2                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,06:55.0,0,06:55.0,0,DF799077-EFED-4B81-99A2-84168AD14696,
2864,NVBHDL      ,Nhân viên bán hàng đại lý                     ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,12:53.3,0,12:53.3,0,27B5E0D2-805B-462B-A1F4-7D0EA4AAF3E8,
1560,NVBHGT      ,Nhân viên bán hàng kênh GT                      ,10,PGPB      ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,32:06.4,0,32:06.4,0,5B340FFE-8DA9-4B4F-A2FD-C371D2B72B52,
1572,NVBHQT      ,Nhân viên bán hàng quốc tế                    ,10,QLTKTL    ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,54:02.6,0,54:02.6,0,B0B298FC-3932-43EB-9BF3-05A2A44CAD44,
1432,NVBHST      ,Nhân viên bán hàng siêu thị                    ,10,PGPB      ,,,,GR2                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,53:12.5,0,53:12.5,0,508A6C67-DF3D-493B-AA93-2D6AB8170550,
1508,NVBKSNB     ,Nhân viên ban kiểm soát nội bộ                ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,39:16.8,0,39:16.8,0,7325463E-697B-4CD2-A686-E28309EB777A,
1501,NVBL        ,Nhân viên Bán lẻ                                ,10,DDTM      ,,,,GR3                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,50:28.5,0,50:28.5,0,F340C334-F8B0-4526-B056-905175646592,
1431,NVBLGD      ,Nhân viên bán lẻ gia dụng                      ,10,DDTM      ,,,,GR3                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,52:06.0,0,52:06.0,0,40046ADC-A441-4D0C-BEDA-BC17389A50E9,
2867,NVBT        ,Nhân Viên Bảo Trì                               ,10,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,
z}�,,,3,0,0,,101,36:02.7,0,36:02.7,0,AD90AEBC-119A-494A-8630-DE2556B304CB,,,,,,,,,,,,,,,,,,,
1482,NVBV        ,Nhân viên Bảo vệ                                ,10,,,,,GR4                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,49:34.4,0,49:34.4,0,4513A418-5011-4A5F-83A7-B2BCFC1DA6A7,
1481,NVBX        ,Nhân viên bốc xếp                               ,10,,,,,GR4                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,07:17.8,0,07:17.8,0,02B56991-0B02-44D3-BD9C-4E6E395007F7,
1549,NVC&B       ,Chuyên viên chế độ tiền lương                  ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,10:50.3,0,10:50.3,0,1D87F32B-5110-4B7D-9A4D-792E42F72B41,
1515,NVCCT       ,Nhân viên chạy chương trình                     ,10,DDTM      ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,03:30.7,0,03:30.7,0,721852E8-D9E2-4021-A4CE-758FF01ECFB1,
1810,NVCSBH      ,Nhân viên chính sách bán hàng                 ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,01:24.1,0,01:24.1,0,0E02C633-7E5F-41CD-AB82-3E03D6EDFEFA,
